baseline,idx,train,gen
DataSynthesizer,0,173.3244390487671,6.982208013534546
DPART,0,14.642923831939697,0.47374510765075684
DataSynthesizer,1,169.07140493392944,7.006550073623657
DPART,1,14.34203815460205,0.477154016494751
DataSynthesizer,2,162.65333914756775,6.557092905044556
DPART,2,14.044046878814697,0.4856400489807129
DataSynthesizer,3,169.9681363105774,6.709395885467529
DPART,3,15.153992891311646,0.49440479278564453
DataSynthesizer,4,173.7024052143097,6.912732839584351
DPART,4,15.362463235855103,0.5037839412689209
